Data_Stream,Device,Latency_ms,Throughput_Mbps,Bandwidth_MHz,Jitter_ms,Packet_Loss_%,Sensory_Accuracy_%,QoE_Score
Haptic,HaptX Gloves,13.330981797737884,167.76755768115768,705.4326947880082,6.147962904552335,1.9681776013872105,92.96513908155644,3.558199182093331
Motion,Kinect,29.385542632026116,161.1404595823999,817.0132574722351,8.248890963699877,2.367178296875107,83.44772724210333,3.780158792346694
Video,GoPro HERO,44.282562614438376,457.8145612344665,325.4211089132491,7.841448368111431,4.272736966010902,97.4478912670963,4.746868707634913
Haptic,GoPro HERO,37.95011988843025,162.29578993227773,662.386689646299,2.385099142243963,1.7000219302994606,92.26232478138483,4.650152534507503
Haptic,GoPro HERO,41.295251653765234,172.37737675788395,614.5713848293739,2.343245227673265,4.3482484240608565,83.14407767113909,4.02596403718572
Motion,Teslasuit,34.64525150198228,391.72921808808366,849.547339109444,3.41356930970422,0.44067215488345746,99.24676114962413,4.065215941661319
Video,AMBEO,36.15244540330336,252.382929102743,915.4783544331344,4.249672537069335,3.8839921860431534,90.36730926670641,4.300331650330369
Video,Teslasuit,43.213804320439365,399.51975062983155,110.94109432964812,4.676100232676344,4.237738165273682,81.4579690374331,3.500361507027702
Haptic,AMBEO,16.235060398663368,79.41477090397336,706.6179271529134,7.117274951500107,0.9090882641866938,92.53665808830135,3.861866504057042
Audio,Leap Motion,27.02412336394132,269.40703715302294,146.6522192077561,1.5101238894925186,2.1517326618610024,85.06397814025621,3.8123477129123216
Haptic,Teslasuit,14.954424881882101,65.12612008247719,593.9727985696204,1.3120543380345975,0.8274988733182781,96.07386903754605,3.8757244201246452
Haptic,Teslasuit,49.445060359849116,78.19394155490954,358.8694561393104,4.527195066495182,3.5330206449710886,96.35644147132382,4.708858763800162
Haptic,HaptX Gloves,47.4826702858976,457.8968540049849,376.0989395699271,7.274473229241824,2.6767388403082837,99.57894711709324,3.9195107848196646
Haptic,AT2020,6.774206511582765,112.66041700291782,417.66265310712095,2.7409180866083434,3.1766167335416053,90.03739062049007,3.7872819830752222
Motion,Teslasuit,36.75088276320598,289.5893070238477,659.1632041446491,6.773540331306266,0.9824348347810558,89.09913759455475,4.256395191189547
Video,HaptX Gloves,46.63617428370496,234.99302117031795,400.6449691018923,3.338453241462695,1.0587293102620976,95.06951210892962,4.798467554559098
Motion,Oculus Quest Camera,13.12589053073001,206.3044968164792,759.4291455312524,8.974774979321648,0.20748662754953184,82.64941312683852,3.86202455575625
Motion,AT2020,30.557535374868326,454.9250055592726,464.07464701648274,9.061209498399549,1.6103376759786485,90.93831027586248,3.617804364189198
Motion,Leap Motion,46.19697339146188,59.82052854897027,161.51788027896276,3.6755848385319383,2.798723306668375,90.92495200261702,4.034607103774497
Haptic,Teslasuit,6.527569036360948,348.7053587790151,805.3838582356965,3.0699437856691647,4.289674569986644,81.78946245620774,4.621477736847467
Audio,Kinect,36.383912026107794,483.52749539609766,357.1824921334354,4.701735748596081,3.3346372372934034,88.35968171013828,4.326035817042192
Video,GoPro HERO,18.380705331764787,302.0756825578289,489.4901916393364,3.1647842666213384,2.176981616998757,97.06569597134404,4.725190054361521
Audio,Oculus Quest Camera,46.59782879194387,471.5701079148913,716.8994948997114,7.051454589625333,4.765600571970689,97.1230724398932,4.939388221413851
Motion,Oculus Quest Camera,48.697621032441546,73.5160456787107,399.21054143384083,8.43458216093457,3.5962260028791593,81.98475329839361,4.688993715127426
Motion,Leap Motion,47.491992010104525,238.45699358337262,150.92709053204408,7.057829178200953,4.6508260143127504,81.81441765495661,4.40570461826563
Audio,HaptX Gloves,26.33963974958587,167.07100593292301,436.5289423115322,8.419154025244145,2.6379398663608282,85.2539095400387,4.240012382078571
Audio,Oculus Quest Camera,43.791919294519104,378.8694342413284,950.0037244248731,4.572929459867267,1.294521373965698,97.49532125107987,3.5601036295224002
Audio,AT2020,43.00472293407817,491.583690723761,677.5609575687024,2.4068527363797476,0.26413343182360993,82.57805170146997,4.976482968221061
Motion,Teslasuit,19.359521295946504,165.4385280999115,704.3312338004862,7.641558526578329,3.6304242574192527,94.39993605254892,4.075221683862564
Motion,Teslasuit,42.30119633678048,344.3785706633335,669.0539382738758,4.2442705462739845,0.6065149900276706,82.02331239226207,3.7283423208753
Video,Kinect,6.665343562197168,139.14393474188307,279.0929250634931,7.041437427062193,1.513875641359836,92.4627570749565,4.500063283094685
Video,Leap Motion,31.832144531692386,304.39861455722445,476.50047769205213,3.435795477835891,2.662354539419487,87.12134598238289,3.926432433643189
Motion,GoPro HERO,15.350397677946637,258.7696190097513,775.8458185269865,1.731066713260054,2.8220829388987383,95.77827925931734,4.378667406396572
Audio,HaptX Gloves,10.425509859977547,487.4023983341917,191.23560779784322,9.933236159389871,3.0029159849356803,84.67380897650727,4.380151861766887
Audio,GoPro HERO,8.462894073314413,323.83727271340996,350.06749848074105,2.4058135713753934,0.8312766517485032,92.78403658779919,4.168594731354304
Video,Oculus Quest Camera,36.33299491451629,207.27786743906844,348.68719761926826,9.89578894567133,1.8986870241082436,84.7136506915177,4.754177923317564
Motion,Leap Motion,20.294373369562976,101.34310319957001,488.8170348350554,9.795519393098026,3.0859711355848334,94.27320566224307,3.8974505923331644
Video,Kinect,37.614504718794265,118.06107293072056,982.3318668479666,8.144362935172357,4.849094323168924,97.47356069121497,4.172948887426601
Video,GoPro HERO,7.941035335952407,151.3926184780558,160.75229201543976,6.934806658737978,3.6381556884984434,82.5360359825352,4.306538192886457
Haptic,AT2020,19.188065202377466,162.9349976031341,566.8308949425355,6.200263452259763,4.613018785469789,97.33191377191007,4.49543708115095
Haptic,Teslasuit,29.277108156890176,432.777226028512,261.4282138109894,8.794913908400513,3.811060291570885,91.87150508828596,4.675957775758384
Haptic,Oculus Quest Camera,40.58254241775336,302.55025472713623,973.6088908687697,3.6049556945753913,2.958584844462002,82.54220981734048,4.092210924317384
Audio,Kinect,19.343862631943146,285.52591011846494,201.97315425471777,5.209130912363893,0.9601168456817227,88.55083710719424,4.469070416144894
Motion,GoPro HERO,33.16511193966541,101.64599234114786,463.2409021254321,6.574509724298517,3.3334282594625653,83.21720586970196,3.725916429602779
Motion,HaptX Gloves,44.86899867062842,437.0628620072457,764.0964863511456,4.70071428282542,3.1168978297995356,94.0069577773314,4.898972150813718
Motion,AT2020,32.713843468203706,375.26643644381767,734.0989852247008,4.847378086812412,3.012345852286332,95.177362688359,4.074588209631505
Motion,AT2020,15.48317636391352,80.4507628550007,480.455773204539,3.9725620075187598,2.4489293399412038,82.11593040545598,4.594282132964658
Haptic,GoPro HERO,6.098035170044211,368.52579375339593,411.8717511574464,6.078086350160825,2.643283019946378,90.12279705389288,3.5305116228232665
Audio,Teslasuit,44.15444932554185,294.59219780419073,457.8511406975835,8.655170752136044,1.6722126355905202,96.29250112051835,3.8077807143572104
Audio,GoPro HERO,5.957123488267421,86.77640558605022,337.84863684277536,2.813755402056816,2.596563463211516,98.72326083101993,4.230623816485367
Haptic,Oculus Quest Camera,44.361575270788975,256.2352886878954,284.7996448361198,9.409897348780973,0.9877795283923912,90.2703573348354,4.817378701598519
Audio,GoPro HERO,28.80217103122454,268.1133292085211,534.735727803001,7.201788883734067,4.025871986801884,99.00558447222814,4.290882724926016
Haptic,AT2020,47.25804643308033,124.59854307347409,341.68038046084655,8.409458914120272,0.928884773493539,90.71377940912059,4.894805723440818
Motion,Kinect,40.94524560981494,475.56416615012705,358.7154984075251,6.005716233670105,0.4248314494473321,87.88380989199815,4.225695344874195
Haptic,GoPro HERO,49.90703497400018,432.4889171662979,691.0804571271013,8.015650312816572,2.181230131785787,96.96406257105791,4.235673645103925
Motion,Teslasuit,20.782031695326957,351.06005179809875,971.683598529903,1.1458035760552048,3.2915371975303094,89.85965420916179,3.679620182750798
Motion,Leap Motion,39.52347300190071,258.0330024502732,643.2734805034376,8.365423823015817,2.188584124667707,89.43805021129046,4.70398436622833
Video,Kinect,23.0868911124159,235.29449371302883,169.28152035846966,1.3612497317682988,1.383770659756543,89.80624978819657,3.870448118700594
Haptic,HaptX Gloves,26.594402913675896,342.9380602179294,168.02525246866028,9.009220387265762,2.790855919452204,96.93570003739491,4.849418734058473
Video,AMBEO,33.237745844826655,295.4443412331075,956.2808987610093,9.927664725147789,1.7350116770609998,96.63883083376103,4.866236330495594
Haptic,GoPro HERO,44.315470138385244,78.02289764684852,367.56171127660025,3.6466071595910003,4.664338450633165,88.07039984880423,4.914965167811225
Haptic,Teslasuit,49.28375611396828,280.62619194664927,182.8602874742279,2.8928670065721427,4.61322569801786,86.6659971974105,4.280345733654635
Video,Kinect,39.572303623903316,412.88162775477775,639.1401284353434,7.888270274722366,2.5118590998604775,89.83856048078259,4.515640677175466
Video,Teslasuit,23.79950519753002,256.65794491863113,661.2839004612395,3.277237068282279,1.6394199700912926,91.45545019474218,4.667773820092496
Haptic,HaptX Gloves,23.961065102468158,73.38045989942079,683.6543381068193,8.790061448549832,3.6856620697831954,84.76674421255994,3.6965219279756982
Audio,AT2020,38.19120357150012,403.8251897228149,340.6618250717872,1.9255833294172904,0.1835647174153332,95.87910169431181,4.401435792496246
Motion,Teslasuit,15.744971559573605,140.61370196118847,113.59961579302754,2.1335967674142244,2.373845030218256,89.72965531464845,3.5514468519549673
Video,Kinect,9.97133509091276,166.37937569961747,968.5138325090247,9.81236399590554,1.6816169713516675,86.68091096839919,4.246349125083089
